0,1,2,3,4,5,6,7,8,9
14.5,14.8,15,15.3,15.3,15.2,14.6,14.3,13.8,13.6
14.5,14.8,15,15.3,15.3,15.2,14.6,14.3,13.8,13.6
14.5,14.8,15,15.3,15.3,15.2,14.6,14.3,13.8,13.6
14.5,14.8,15.5,15.3,16,16,15.7,14.3,13.8,13.6
14.5,16,20,20,16,16,15.7,14.3,13.8,13.6
14.5,19,20,20,16,16,15.7,14.3,13.8,13.6
14.5,19,20,20,15,15.2,14.6,14.3,13.8,13.6
14.5,14.8,20,20,15,15.2,14.6,14.3,13.8,13.6
14.5,14.8,20,20,15.3,15.2,14.6,14.3,13.8,13.6
14.5,14.8,15,15.3,15.3,15.2,14.6,14.3,13.8,13.6
14.5,14.8,15,15.3,15.3,15.2,14.6,14.3,13.8,13.6
